index,Gene symbol,HGNC ID,UniProt ID(s)
4623,DYM,HGNC:21317,Q7RTS9
4624,DYNAP,HGNC:26808,Q8N1N2
4625,DYNC1H1,HGNC:2961,Q14204
4626,DYNC1I1,HGNC:2963,O14576
4627,DYNC1I2,HGNC:2964,Q13409
4628,DYNC1LI1,HGNC:18745,Q9Y6G9
4629,DYNC1LI2,HGNC:2966,O43237
4630,DYNC2H1,HGNC:2962,Q8NCM8
4631,DYNC2I1,HGNC:21862,Q8WVS4
4632,DYNC2I2,HGNC:28296,Q96EX3
4633,DYNC2LI1,HGNC:24595,Q8TCX1
4634,DYNLL1,HGNC:15476,P63167
4635,DYNLL2,HGNC:24596,Q96FJ2
4636,DYNLRB1,HGNC:15468,Q9NP97
4637,DYNLRB2,HGNC:15467,Q8TF09
4638,DYNLT1,HGNC:11697,P63172
4639,DYNLT2,HGNC:11695,Q8IZS6
4640,DYNLT2B,HGNC:28482,Q8WW35
4641,DYNLT3,HGNC:11694,P51808
4642,DYNLT4,HGNC:32315,Q5JR98
4643,DYNLT5,HGNC:26882,Q8N7M0
4644,DYRK1A,HGNC:3091,Q13627
4645,DYRK1B,HGNC:3092,Q9Y463
4646,DYRK2,HGNC:3093,Q92630
4647,DYRK3,HGNC:3094,O43781
4648,DYRK4,HGNC:3095,Q9NR20
4649,DYSF,HGNC:3097,O75923
4650,DYTN,HGNC:23279,A2CJ06
4651,DZANK1,HGNC:15858,Q9NVP4
4652,DZIP1,HGNC:20908,Q86YF9
4653,DZIP1L,HGNC:26551,Q8IYY4
4654,DZIP3,HGNC:30938,Q86Y13
4655,E2F1,HGNC:3113,Q01094
4656,E2F2,HGNC:3114,Q14209
4657,E2F3,HGNC:3115,O00716
4658,E2F4,HGNC:3118,Q16254
4659,E2F5,HGNC:3119,Q15329
4660,E2F6,HGNC:3120,O75461
4661,E2F7,HGNC:23820,Q96AV8
4662,E2F8,HGNC:24727,A0AVK6
4663,E4F1,HGNC:3121,Q66K89
4664,EAF1,HGNC:20907,Q96JC9
4665,EAF2,HGNC:23115,Q96CJ1
4666,EAPP,HGNC:19312,Q56P03
4667,EARS2,HGNC:29419,Q5JPH6
4668,EBAG9,HGNC:3123,O00559
4669,EBF1,HGNC:3126,Q9UH73
4670,EBF2,HGNC:19090,Q9HAK2
4671,EBF3,HGNC:19087,Q9H4W6
4672,EBF4,HGNC:29278,Q9BQW3
4673,EBI3,HGNC:3129,Q14213
4674,EBLN1,HGNC:39430,P0CF75
4675,EBLN2,HGNC:25493,Q6P2I7
4676,EBNA1BP2,HGNC:15531,Q99848
4677,EBP,HGNC:3133,Q15125
4678,EBPL,HGNC:18061,Q9BY08
4679,ECD,HGNC:17029,O95905
4680,ECE1,HGNC:3146,P42892
4681,ECE2,HGNC:13275,P0DPD6
4682,ECEL1,HGNC:3147,O95672
4683,ECH1,HGNC:3149,Q13011
4684,ECHDC1,HGNC:21489,Q9NTX5
4685,ECHDC2,HGNC:23408,Q86YB7
4686,ECHDC3,HGNC:23489,Q96DC8
4687,ECHS1,HGNC:3151,P30084
4688,ECI1,HGNC:2703,P42126
4689,ECI2,HGNC:14601,O75521
4690,ECM1,HGNC:3153,Q16610
4691,ECM2,HGNC:3154,O94769
4692,ECPAS,HGNC:29020,Q5VYK3
4693,ECRG4,HGNC:24642,Q9H1Z8
4694,ECSCR,HGNC:35454,Q19T08
4695,ECSIT,HGNC:29548,Q9BQ95
4696,ECT2,HGNC:3155,Q9H8V3
4697,ECT2L,HGNC:21118,Q008S8
4698,EDA,HGNC:3157,Q92838
4699,EDA2R,HGNC:17756,Q9HAV5
4700,EDAR,HGNC:2895,Q9UNE0
4701,EDARADD,HGNC:14341,Q8WWZ3
4702,EDC3,HGNC:26114,Q96F86
4703,EDC4,HGNC:17157,Q6P2E9
4704,EDDM3A,HGNC:16978,Q14507
4705,EDDM3B,HGNC:19223,P56851
4706,EDDM13,HGNC:53168,A0A1B0GTR0
4707,EDEM1,HGNC:18967,Q92611
4708,EDEM2,HGNC:15877,Q9BV94
4709,EDEM3,HGNC:16787,Q9BZQ6
4710,EDF1,HGNC:3164,O60869
4711,EDIL3,HGNC:3173,O43854
4712,EDN1,HGNC:3176,P05305
4713,EDN2,HGNC:3177,P20800
4714,EDN3,HGNC:3178,P14138
4715,EDNRA,HGNC:3179,P25101
4716,EDNRB,HGNC:3180,P24530
4717,EDRF1,HGNC:24640,Q3B7T1
4718,EEA1,HGNC:3185,Q15075
4719,EED,HGNC:3188,O75530
4720,EEF1A1,HGNC:3189,P68104
4721,EEF1A2,HGNC:3192,Q05639
4722,EEF1AKMT1,HGNC:27351,Q8WVE0
4723,EEF1AKMT2,HGNC:33787,Q5JPI9
4724,EEF1AKMT3,HGNC:24936,Q96AZ1
4725,EEF1AKMT4,HGNC:53611,P0DPD7
4726,EEF1B2,HGNC:3208,P24534
4727,EEF1D,HGNC:3211,P29692
4728,EEF1E1,HGNC:3212,O43324
4729,EEF1G,HGNC:3213,P26641
4730,EEF2,HGNC:3214,P13639
4731,EEF2K,HGNC:24615,O00418
4732,EEF2KMT,HGNC:32221,Q96G04
4733,EEFSEC,HGNC:24614,P57772
4734,EEIG1,HGNC:31419,Q5T9C2
4735,EEIG2,HGNC:27637,Q5T8I3
4736,EEPD1,HGNC:22223,Q7L9B9
4737,EFCAB2,HGNC:28166,Q5VUJ9
4738,EFCAB3,HGNC:26379,Q8N7B9
4739,EFCAB5,HGNC:24801,A4FU69
4740,EFCAB6,HGNC:24204,Q5THR3
4741,EFCAB7,HGNC:29379,A8K855
4742,EFCAB8,HGNC:34532,A8MWE9
4743,EFCAB9,HGNC:34530,A8MZ26
4744,EFCAB10,HGNC:34531,A6NFE3
4745,EFCAB11,HGNC:20357,Q9BUY7
4746,EFCAB12,HGNC:28061,Q6NXP0
4747,EFCAB13,HGNC:26864,Q8IY85
4748,EFCAB14,HGNC:29051,O75071
4749,EFCC1,HGNC:25692,Q9HA90
4750,EFEMP1,HGNC:3218,Q12805
4751,EFEMP2,HGNC:3219,O95967
4752,EFHB,HGNC:26330,Q8N7U6
4753,EFHC1,HGNC:16406,Q5JVL4
4754,EFHC2,HGNC:26233,Q5JST6
4755,EFHD1,HGNC:29556,Q9BUP0
4756,EFHD2,HGNC:28670,Q96C19
4757,EFL1,HGNC:25789,Q7Z2Z2
4758,EFNA1,HGNC:3221,P20827
4759,EFNA2,HGNC:3222,O43921
4760,EFNA3,HGNC:3223,P52797
4761,EFNA4,HGNC:3224,P52798
4762,EFNA5,HGNC:3225,P52803
4763,EFNB1,HGNC:3226,P98172
4764,EFNB2,HGNC:3227,P52799
4765,EFNB3,HGNC:3228,Q15768
4766,EFR3A,HGNC:28970,Q14156
4767,EFR3B,HGNC:29155,Q9Y2G0
4768,EFS,HGNC:16898,O43281
4769,EFTUD2,HGNC:30858,Q15029
4770,EGF,HGNC:3229,P01133
4771,EGFL6,HGNC:3235,Q8IUX8
4772,EGFL7,HGNC:20594,Q9UHF1
4773,EGFL8,HGNC:13944,Q99944
4774,EGFLAM,HGNC:26810,Q63HQ2
4775,EGFR,HGNC:3236,P00533
4776,EGLN1,HGNC:1232,Q9GZT9
4777,EGLN2,HGNC:14660,Q96KS0
4778,EGLN3,HGNC:14661,Q9H6Z9
4779,EGR1,HGNC:3238,P18146
4780,EGR2,HGNC:3239,P11161
4781,EGR3,HGNC:3240,Q06889
4782,EGR4,HGNC:3241,Q05215
4783,EHBP1,HGNC:29144,Q8NDI1
4784,EHBP1L1,HGNC:30682,Q8N3D4
4785,EHD1,HGNC:3242,Q9H4M9
4786,EHD2,HGNC:3243,Q9NZN4
4787,EHD3,HGNC:3244,Q9NZN3
4788,EHD4,HGNC:3245,Q9H223
4789,EHF,HGNC:3246,Q9NZC4
4790,EHHADH,HGNC:3247,Q08426
4791,EHMT1,HGNC:24650,Q9H9B1
4792,EHMT2,HGNC:14129,Q96KQ7
4793,EI24,HGNC:13276,O14681
4794,EID1,HGNC:1191,Q9Y6B2
4795,EID2,HGNC:28292,Q8N6I1
4796,EID2B,HGNC:26796,Q96D98
4797,EID3,HGNC:32961,Q8N140
4798,EIF1,HGNC:3249,P41567
4799,EIF1AD,HGNC:28147,Q8N9N8
4800,EIF1AX,HGNC:3250,P47813
4801,EIF1AY,HGNC:3252,O14602
4802,EIF1B,HGNC:30792,O60739
4803,EIF2A,HGNC:3254,Q9BY44
4804,EIF2AK1,HGNC:24921,Q9BQI3
4805,EIF2AK2,HGNC:9437,P19525
4806,EIF2AK3,HGNC:3255,Q9NZJ5
4807,EIF2AK4,HGNC:19687,Q9P2K8
4808,EIF2B1,HGNC:3257,Q14232
4809,EIF2B2,HGNC:3258,P49770
4810,EIF2B3,HGNC:3259,Q9NR50
4811,EIF2B4,HGNC:3260,Q9UI10
4812,EIF2B5,HGNC:3261,Q13144
4813,EIF2D,HGNC:6583,P41214
4814,EIF2S1,HGNC:3265,P05198
4815,EIF2S2,HGNC:3266,P20042
4816,EIF2S3,HGNC:3267,P41091
4817,EIF2S3B,HGNC:43863,Q2VIR3
4818,EIF3A,HGNC:3271,Q14152
4819,EIF3B,HGNC:3280,P55884
4820,EIF3C,HGNC:3279,Q99613
4821,EIF3CL,HGNC:26347,B5ME19
4822,EIF3D,HGNC:3278,O15371
4823,EIF3E,HGNC:3277,P60228
4824,EIF3F,HGNC:3275,O00303
4825,EIF3G,HGNC:3274,O75821
4826,EIF3H,HGNC:3273,O15372
4827,EIF3I,HGNC:3272,Q13347
4828,EIF3J,HGNC:3270,O75822
4829,EIF3K,HGNC:24656,Q9UBQ5
4830,EIF3L,HGNC:18138,Q9Y262
4831,EIF3M,HGNC:24460,Q7L2H7
4832,EIF4A1,HGNC:3282,P60842
4833,EIF4A2,HGNC:3284,Q14240
4834,EIF4A3,HGNC:18683,P38919
4835,EIF4B,HGNC:3285,P23588
4836,EIF4E,HGNC:3287,P06730
4837,EIF4E1B,HGNC:33179,A6NMX2
4838,EIF4E2,HGNC:3293,O60573
4839,EIF4E3,HGNC:31837,Q8N5X7
4840,EIF4EBP1,HGNC:3288,Q13541
4841,EIF4EBP2,HGNC:3289,Q13542
4842,EIF4EBP3,HGNC:3290,O60516
4843,EIF4ENIF1,HGNC:16687,Q9NRA8
4844,EIF4G1,HGNC:3296,Q04637
4845,EIF4G2,HGNC:3297,P78344
4846,EIF4G3,HGNC:3298,O43432
4847,EIF4H,HGNC:12741,Q15056
4848,EIF5,HGNC:3299,P55010
4849,EIF5A,HGNC:3300,P63241
4850,EIF5A2,HGNC:3301,Q9GZV4
4851,EIF5AL1,HGNC:17419,Q6IS14
4852,EIF5B,HGNC:30793,O60841
4853,EIF6,HGNC:6159,P56537
4854,EIPR1,HGNC:12383,Q53HC9
4855,ELAC1,HGNC:14197,Q9H777
4856,ELAC2,HGNC:14198,Q9BQ52
4857,ELANE,HGNC:3309,P08246
4858,ELAPOR1,HGNC:29618,Q6UXG2
4859,ELAPOR2,HGNC:21945,A8MWY0
4860,ELAVL1,HGNC:3312,Q15717
4861,ELAVL2,HGNC:3313,Q12926
4862,ELAVL3,HGNC:3314,Q14576
4863,ELAVL4,HGNC:3315,P26378
4864,ELF1,HGNC:3316,P32519
4865,ELF2,HGNC:3317,Q15723
4866,ELF3,HGNC:3318,P78545
4867,ELF4,HGNC:3319,Q99607
4868,ELF5,HGNC:3320,Q9UKW6
4869,ELFN1,HGNC:33154,P0C7U0
4870,ELFN2,HGNC:29396,Q5R3F8
4871,ELK1,HGNC:3321,P19419
4872,ELK3,HGNC:3325,P41970
4873,ELK4,HGNC:3326,P28324
4874,ELL,HGNC:23114,P55199
4875,ELL2,HGNC:17064,O00472
4876,ELL3,HGNC:23113,Q9HB65
4877,ELMO1,HGNC:16286,Q92556
4878,ELMO2,HGNC:17233,Q96JJ3
4879,ELMO3,HGNC:17289,Q96BJ8
4880,ELMOD1,HGNC:25334,Q8N336
4881,ELMOD2,HGNC:28111,Q8IZ81
4882,ELMOD3,HGNC:26158,Q96FG2
4883,ELN,HGNC:3327,P15502
4884,ELOA,HGNC:11620,Q14241
4885,ELOA2,HGNC:30771,Q8IYF1
4886,ELOB,HGNC:11619,Q15370
4887,ELOC,HGNC:11617,Q15369
4888,ELOF1,HGNC:28691,P60002
4889,ELOVL1,HGNC:14418,Q9BW60
4890,ELOVL2,HGNC:14416,Q9NXB9
4891,ELOVL3,HGNC:18047,Q9HB03
4892,ELOVL4,HGNC:14415,Q9GZR5
4893,ELOVL5,HGNC:21308,Q9NYP7
4894,ELOVL6,HGNC:15829,Q9H5J4
4895,ELOVL7,HGNC:26292,A1L3X0
4896,ELP1,HGNC:5959,O95163
4897,ELP2,HGNC:18248,Q6IA86
4898,ELP3,HGNC:20696,Q9H9T3
4899,ELP4,HGNC:1171,Q96EB1
4900,ELP5,HGNC:30617,Q8TE02
4901,ELP6,HGNC:25976,Q0PNE2
4902,ELSPBP1,HGNC:14417,Q96BH3
4903,EMB,HGNC:30465,Q6PCB8
4904,EMC1,HGNC:28957,Q8N766
4905,EMC2,HGNC:28963,Q15006
4906,EMC3,HGNC:23999,Q9P0I2
4907,EMC4,HGNC:28032,Q5J8M3
4908,EMC6,HGNC:28430,Q9BV81
4909,EMC7,HGNC:24301,Q9NPA0
4910,EMC8,HGNC:7864,O43402
4911,EMC9,HGNC:20273,Q9Y3B6
4912,EMC10,HGNC:27609,Q5UCC4
4913,EMCN,HGNC:16041,Q9ULC0
4914,EMD,HGNC:3331,P50402
4915,EME1,HGNC:24965,Q96AY2
4916,EME2,HGNC:27289,A4GXA9
4917,EMG1,HGNC:16912,Q92979
4918,EMID1,HGNC:18036,Q96A84
4919,EMILIN1,HGNC:19880,Q9Y6C2
4920,EMILIN2,HGNC:19881,Q9BXX0
4921,EMILIN3,HGNC:16123,Q9NT22
4922,EML1,HGNC:3330,O00423
4923,EML2,HGNC:18035,O95834
4924,EML3,HGNC:26666,Q32P44
4925,EML4,HGNC:1316,Q9HC35
4926,EML5,HGNC:18197,Q05BV3
4927,EML6,HGNC:35412,Q6ZMW3
4928,EMP1,HGNC:3333,P54849
4929,EMP2,HGNC:3334,P54851
4930,EMP3,HGNC:3335,P54852
4931,EMSY,HGNC:18071,Q7Z589
4932,EMX1,HGNC:3340,Q04741
4933,EMX2,HGNC:3341,Q04743
4934,EN1,HGNC:3342,Q05925
4935,EN2,HGNC:3343,P19622
4936,ENAH,HGNC:18271,Q8N8S7
4937,ENAM,HGNC:3344,Q9NRM1
4938,ENC1,HGNC:3345,O14682
4939,ENDOD1,HGNC:29129,O94919
4940,ENDOG,HGNC:3346,Q14249
4941,ENDOU,HGNC:14369,P21128
4942,ENDOV,HGNC:26640,Q8N8Q3
4943,ENG,HGNC:3349,P17813
4944,ENGASE,HGNC:24622,Q8NFI3
4945,ENHO,HGNC:24838,Q6UWT2
4946,ENKD1,HGNC:25246,Q9H0I2
4947,ENKUR,HGNC:28388,Q8TC29
4948,ENO1,HGNC:3350,P06733
4949,ENO2,HGNC:3353,P09104
4950,ENO3,HGNC:3354,P13929
4951,ENO4,HGNC:31670,A6NNW6
4952,ENOPH1,HGNC:24599,Q9UHY7
4953,ENOSF1,HGNC:30365,Q7L5Y1
4954,ENOX1,HGNC:25474,Q8TC92
4955,ENOX2,HGNC:2259,Q16206
4956,ENPEP,HGNC:3355,Q07075
4957,ENPP1,HGNC:3356,P22413
4958,ENPP2,HGNC:3357,Q13822
4959,ENPP3,HGNC:3358,O14638
4960,ENPP4,HGNC:3359,Q9Y6X5
4961,ENPP5,HGNC:13717,Q9UJA9
4962,ENPP6,HGNC:23409,Q6UWR7
4963,ENPP7,HGNC:23764,Q6UWV6
4964,ENSA,HGNC:3360,O43768
4965,ENTHD1,HGNC:26352,Q8IYW4
4966,ENTPD1,HGNC:3363,P49961
4967,ENTPD2,HGNC:3364,Q9Y5L3
4968,ENTPD3,HGNC:3365,O75355
4969,ENTPD4,HGNC:14573,Q9Y227
4970,ENTPD5,HGNC:3367,O75356
4971,ENTPD6,HGNC:3368,O75354
4972,ENTPD7,HGNC:19745,Q9NQZ7
4973,ENTPD8,HGNC:24860,Q5MY95
4974,ENTR1,HGNC:10667,Q96C92
4975,ENTREP1,HGNC:24820,Q15884
4976,ENTREP2,HGNC:29075,O60320
4977,ENTREP3,HGNC:1233,P81408
4978,ENY2,HGNC:24449,Q9NPA8
4979,EOGT,HGNC:28526,Q5NDL2
4980,EOLA1,HGNC:28089,Q8TE69
4981,EOLA2,HGNC:17402,Q96DE9
4982,EOMES,HGNC:3372,O95936
4983,EP300,HGNC:3373,Q09472
4984,EP400,HGNC:11958,Q96L91
4985,EPAS1,HGNC:3374,Q99814
4986,EPB41,HGNC:3377,P11171
4987,EPB41L1,HGNC:3378,Q9H4G0
4988,EPB41L2,HGNC:3379,O43491
4989,EPB41L3,HGNC:3380,Q9Y2J2
4990,EPB41L4A,HGNC:13278,Q9HCS5
4991,EPB41L4B,HGNC:19818,Q9H329
4992,EPB41L5,HGNC:19819,Q9HCM4
4993,EPB42,HGNC:3381,P16452
4994,EPC1,HGNC:19876,Q9H2F5
4995,EPC2,HGNC:24543,Q52LR7
4996,EPCAM,HGNC:11529,P16422
4997,EPCIP,HGNC:1305,Q9NYP8
4998,EPDR1,HGNC:17572,Q9UM22
4999,EPG5,HGNC:29331,Q9HCE0
5000,EPGN,HGNC:17470,Q6UW88
5001,EPHA1,HGNC:3385,P21709
5002,EPHA2,HGNC:3386,P29317
5003,EPHA3,HGNC:3387,P29320
5004,EPHA4,HGNC:3388,P54764
5005,EPHA5,HGNC:3389,P54756
5006,EPHA6,HGNC:19296,Q9UF33
5007,EPHA7,HGNC:3390,Q15375
5008,EPHA8,HGNC:3391,P29322
5009,EPHA10,HGNC:19987,Q5JZY3
5010,EPHB1,HGNC:3392,P54762
5011,EPHB2,HGNC:3393,P29323
5012,EPHB3,HGNC:3394,P54753
5013,EPHB4,HGNC:3395,P54760
5014,EPHB6,HGNC:3396,O15197
5015,EPHX1,HGNC:3401,P07099
5016,EPHX2,HGNC:3402,P34913
5017,EPHX3,HGNC:23760,Q9H6B9
5018,EPHX4,HGNC:23758,Q8IUS5
5019,EPM2A,HGNC:3413,B3EWF7
,,,O95278
5020,EPM2AIP1,HGNC:19735,Q7L775
5021,EPN1,HGNC:21604,Q9Y6I3
5022,EPN2,HGNC:18639,O95208
5023,EPN3,HGNC:18235,Q9H201
5024,EPO,HGNC:3415,P01588
5025,EPOP,HGNC:34493,A6NHQ4
5026,EPOR,HGNC:3416,P19235
5027,EPPIN,HGNC:15932,O95925
5028,EPPK1,HGNC:15577,P58107
5029,EPRS1,HGNC:3418,P07814
5030,EPS8,HGNC:3420,Q12929
5031,EPS8L1,HGNC:21295,Q8TE68
5032,EPS8L2,HGNC:21296,Q9H6S3
5033,EPS8L3,HGNC:21297,Q8TE67
5034,EPS15,HGNC:3419,P42566
5035,EPS15L1,HGNC:24634,Q9UBC2
5036,EPSTI1,HGNC:16465,Q96J88
5037,EPX,HGNC:3423,P11678
5038,EPYC,HGNC:3053,Q99645
5039,EQTN,HGNC:1359,Q9NQ60
5040,ERAL1,HGNC:3424,O75616
5041,ERAP1,HGNC:18173,Q9NZ08
5042,ERAP2,HGNC:29499,Q6P179
5043,ERAS,HGNC:5174,Q7Z444
5044,ERBB2,HGNC:3430,P04626
5045,ERBB3,HGNC:3431,P21860
5046,ERBB4,HGNC:3432,Q15303
5047,ERBIN,HGNC:15842,Q96RT1
5048,ERC1,HGNC:17072,Q8IUD2
5049,ERC2,HGNC:31922,O15083
5050,ERCC1,HGNC:3433,P07992
5051,ERCC2,HGNC:3434,P18074
5052,ERCC3,HGNC:3435,P19447
5053,ERCC4,HGNC:3436,Q92889
5054,ERCC5,HGNC:3437,P28715
5055,ERCC6,HGNC:3438,P0DP91
,,,Q03468
5056,ERCC6L,HGNC:20794,Q2NKX8
5057,ERCC6L2,HGNC:26922,Q5T890
5058,ERCC8,HGNC:3439,Q13216
5059,EREG,HGNC:3443,O14944
5060,ERF,HGNC:3444,P50548
5061,ERFE,HGNC:26727,Q4G0M1
5062,ERFL,HGNC:53894,A0A1W2PQ73
5063,ERG,HGNC:3446,P11308
5064,ERG28,HGNC:1187,Q9UKR5
5065,ERGIC1,HGNC:29205,Q969X5
5066,ERGIC2,HGNC:30208,Q96RQ1
5067,ERGIC3,HGNC:15927,Q9Y282
5068,ERH,HGNC:3447,P84090
5069,ERI1,HGNC:23994,Q8IV48
5070,ERI2,HGNC:30541,A8K979
5071,ERI3,HGNC:17276,O43414
5072,ERICH1,HGNC:27234,Q86X53
5073,ERICH2,HGNC:44395,A1L162
5074,ERICH3,HGNC:25346,Q5RHP9
5075,ERICH4,HGNC:34497,A6NGS2
5076,ERICH5,HGNC:26823,Q6P6B1
5077,ERICH6,HGNC:28602,Q7L0X2
5078,ERICH6B,HGNC:26523,Q5W0A0
5079,ERLEC1,HGNC:25222,Q96DZ1
5080,ERLIN1,HGNC:16947,O75477
5081,ERLIN2,HGNC:1356,O94905
5082,ERMAP,HGNC:15743,Q96PL5
5083,ERMARD,HGNC:21056,Q5T6L9
5084,ERMN,HGNC:29208,Q8TAM6
5085,ERMP1,HGNC:23703,Q7Z2K6
5086,ERN1,HGNC:3449,O75460
5087,ERN2,HGNC:16942,Q76MJ5
5088,ERO1A,HGNC:13280,Q96HE7
5089,ERO1B,HGNC:14355,Q86YB8
5090,ERP27,HGNC:26495,Q96DN0
5091,ERP29,HGNC:13799,P30040
5092,ERP44,HGNC:18311,Q9BS26
5093,ERRFI1,HGNC:18185,Q9UJM3
5094,ERV3-1,HGNC:3454,Q14264
5095,ERVFRD-1,HGNC:33823,P60508
5096,ERVMER34-1,HGNC:42970,Q9H9K5
5097,ERVV-1,HGNC:26501,B6SEH8
5098,ERVV-2,HGNC:39051,B6SEH9
5099,ERVW-1,HGNC:13525,Q9UQF0
5100,ESAM,HGNC:17474,Q96AP7
5101,ESCO1,HGNC:24645,Q5FWF5
5102,ESCO2,HGNC:27230,Q56NI9
5103,ESD,HGNC:3465,P10768
5104,ESF1,HGNC:15898,Q9H501
5105,ESM1,HGNC:3466,Q9NQ30
5106,ESPL1,HGNC:16856,Q14674
5107,ESPN,HGNC:13281,B1AK53
5108,ESPNL,HGNC:27937,Q6ZVH7
5109,ESR1,HGNC:3467,P03372
5110,ESR2,HGNC:3468,Q92731
5111,ESRP1,HGNC:25966,Q6NXG1
5112,ESRP2,HGNC:26152,Q9H6T0
5113,ESRRA,HGNC:3471,P11474
5114,ESRRB,HGNC:3473,O95718
5115,ESRRG,HGNC:3474,P62508
5116,ESS2,HGNC:16817,Q96DF8
5117,ESX1,HGNC:14865,Q8N693
5118,ESYT1,HGNC:29534,Q9BSJ8
5119,ESYT2,HGNC:22211,A0FGR8
5120,ESYT3,HGNC:24295,A0FGR9
5121,ETAA1,HGNC:24648,Q9NY74
5122,ETDA,HGNC:53449,Q3ZM63
5123,ETDB,HGNC:44269,P0DPP9
5124,ETDC,HGNC:53450,A0A1B0GVM5
5125,ETF1,HGNC:3477,P62495
5126,ETFA,HGNC:3481,P13804
5127,ETFB,HGNC:3482,P38117
5128,ETFBKMT,HGNC:28739,Q8IXQ9
5129,ETFDH,HGNC:3483,Q16134
5130,ETFRF1,HGNC:27052,Q6IPR1
5131,ETHE1,HGNC:23287,O95571
5132,ETNK1,HGNC:24649,Q9HBU6
5133,ETNK2,HGNC:25575,Q9NVF9
5134,ETNPPL,HGNC:14404,Q8TBG4
5135,ETS1,HGNC:3488,P14921
5136,ETS2,HGNC:3489,P15036
5137,ETV1,HGNC:3490,P50549
5138,ETV2,HGNC:3491,O00321
5139,ETV3,HGNC:3492,P41162
5140,ETV3L,HGNC:33834,Q6ZN32
5141,ETV4,HGNC:3493,P43268
5142,ETV5,HGNC:3494,P41161
5143,ETV6,HGNC:3495,P41212
5144,ETV7,HGNC:18160,Q9Y603
5145,EVA1A,HGNC:25816,Q9H8M9
5146,EVA1B,HGNC:25558,Q9NVM1
5147,EVA1C,HGNC:13239,P58658
5148,EVC,HGNC:3497,P57679
5149,EVC2,HGNC:19747,Q86UK5
5150,EVI2A,HGNC:3499,P22794
5151,EVI2B,HGNC:3500,P34910
5152,EVI5,HGNC:3501,O60447
5153,EVI5L,HGNC:30464,Q96CN4
5154,EVL,HGNC:20234,Q9UI08
5155,EVPL,HGNC:3503,Q92817
5156,EVPLL,HGNC:35236,A8MZ36
5157,EVX1,HGNC:3506,P49640
5158,EVX2,HGNC:3507,Q03828
5159,EWSR1,HGNC:3508,Q01844
5160,EXD1,HGNC:28507,Q8NHP7
5161,EXD2,HGNC:20217,Q9NVH0
5162,EXD3,HGNC:26023,Q8N9H8
5163,EXO1,HGNC:3511,Q9UQ84
5164,EXO5,HGNC:26115,Q9H790
5165,EXOC1,HGNC:30380,Q9NV70
5166,EXOC1L,HGNC:53433,A0A1B0GW35
5167,EXOC2,HGNC:24968,Q96KP1
5168,EXOC3,HGNC:30378,O60645
5169,EXOC3L1,HGNC:27540,Q86VI1
5170,EXOC3L2,HGNC:30162,Q2M3D2
5171,EXOC3L4,HGNC:20120,Q17RC7
5172,EXOC4,HGNC:30389,Q96A65
5173,EXOC5,HGNC:10696,O00471
5174,EXOC6,HGNC:23196,Q8TAG9
5175,EXOC6B,HGNC:17085,Q9Y2D4
5176,EXOC7,HGNC:23214,Q9UPT5
5177,EXOC8,HGNC:24659,Q8IYI6
5178,EXOG,HGNC:3347,Q9Y2C4
5179,EXOSC1,HGNC:17286,Q9Y3B2
5180,EXOSC2,HGNC:17097,Q13868
5181,EXOSC3,HGNC:17944,Q9NQT5
5182,EXOSC4,HGNC:18189,Q9NPD3
5183,EXOSC5,HGNC:24662,Q9NQT4
5184,EXOSC6,HGNC:19055,Q5RKV6
5185,EXOSC7,HGNC:28112,Q15024
5186,EXOSC8,HGNC:17035,Q96B26
5187,EXOSC9,HGNC:9137,Q06265
5188,EXOSC10,HGNC:9138,Q01780
5189,EXPH5,HGNC:30578,Q8NEV8
5190,EXT1,HGNC:3512,Q16394
5191,EXT2,HGNC:3513,Q93063
5192,EXTL1,HGNC:3515,Q92935
5193,EXTL2,HGNC:3516,Q9UBQ6
5194,EXTL3,HGNC:3518,O43909
5195,EYA1,HGNC:3519,Q99502
5196,EYA2,HGNC:3520,O00167
5197,EYA3,HGNC:3521,Q99504
5198,EYA4,HGNC:3522,O95677
5199,EYS,HGNC:21555,Q5T1H1
5200,EZH1,HGNC:3526,Q92800
5201,EZH2,HGNC:3527,Q15910
5202,EZHIP,HGNC:33738,Q86X51
5203,EZR,HGNC:12691,P15311
5204,F2,HGNC:3535,P00734
5205,F2R,HGNC:3537,P25116
5206,F2RL1,HGNC:3538,P55085
5207,F2RL2,HGNC:3539,O00254
5208,F2RL3,HGNC:3540,Q96RI0
5209,F3,HGNC:3541,P13726
5210,F5,HGNC:3542,P12259
5211,F7,HGNC:3544,P08709
5212,F8,HGNC:3546,P00451
5213,F8A1,HGNC:3547,P23610
5214,F8A2,HGNC:31849,P23610
5215,F8A3,HGNC:31850,P23610
5216,F9,HGNC:3551,P00740
5217,F10,HGNC:3528,P00742
5218,F11,HGNC:3529,P03951
5219,F11R,HGNC:14685,Q9Y624
5220,F12,HGNC:3530,P00748
5221,F13A1,HGNC:3531,P00488
5222,F13B,HGNC:3534,P05160
5223,FA2H,HGNC:21197,Q7L5A8
5224,FAAH,HGNC:3553,O00519
5225,FAAH2,HGNC:26440,Q6GMR7
5226,FAAP20,HGNC:26428,Q6NZ36
5227,FAAP24,HGNC:28467,Q9BTP7
5228,FAAP100,HGNC:26171,Q0VG06
5229,FABP1,HGNC:3555,P07148
5230,FABP2,HGNC:3556,P12104
5231,FABP3,HGNC:3557,P05413
